orderNumber,shipDate,TrackingNumber,Weight,Item,RecipientName
11852072-3,2022-08-17,276885098099,272,undefined,BMC Food
11852072-1,2022-08-17,276885098331,272,undefined,BMC Food
11852072-4,2022-08-17,276885097806,272,undefined,BMC Food
